Time [s],Channel 0,Channel 1,Channel 2
-0.038697167,0,0,0
-0.008805833,0,0,1
-0.000030000,0,0,0
-0.000013583,0,1,0
0.000000000,1,1,0
0.009190500,0,1,0
0.019188583,0,0,0
0.041186167,0,0,1
0.049958167,0,0,0
0.091183333,0,0,1
0.099956833,0,0,0
0.099973167,1,0,0
0.109180917,0,0,0
0.141182417,0,0,1
0.149954917,0,0,0
0.191182333,0,0,1
0.199959083,0,0,0
0.199975500,0,1,0
0.199989083,1,1,0
0.209180250,0,1,0
0.219179083,0,0,0
0.241176250,0,0,1
0.249947333,0,0,0
0.291168500,0,0,1
0.299942167,0,0,0
0.299958417,1,0,0
0.309165250,0,0,0
0.341158917,0,0,1
0.349929500,0,0,0
0.391149833,0,0,1
0.399927250,0,0,0
0.399943583,0,1,0
0.399957250,1,1,0
0.409149917,0,1,0
0.419148917,0,0,0
0.441149833,0,0,1
0.449921500,0,0,0
0.491146333,0,0,1
0.499920333,0,0,0
0.499936583,1,0,0
0.509145083,0,0,0
0.541139500,0,0,1
0.549910667,0,0,0
0.591132083,0,0,1
0.599908333,0,0,0
0.599924667,0,1,0
0.599938333,1,1,0
0.609131667,0,1,0
0.619131917,0,0,0
0.641131167,0,0,1
0.649902333,0,0,0
0.691123917,0,0,1
0.699896917,0,0,0
0.699913167,1,0,0
0.709119833,0,0,0
0.741114167,0,0,1
0.749883750,0,0,0
0.791107833,0,0,1
0.799884000,0,0,0
0.799900333,0,1,0
0.799914000,1,1,0
0.809106250,0,1,0
0.819105833,0,0,0
0.841103833,0,0,1
0.849874583,0,0,0
0.891094417,0,0,1
0.899868833,0,0,0
0.899885083,1,0,0
0.909092250,0,0,0
0.941089667,0,0,1
0.949861167,0,0,0
0.991082583,0,0,1
0.999858750,0,0,0
0.999875083,0,1,0
0.999888750,1,1,0
1.009081167,0,1,0
1.019081417,0,0,0
1.041079500,0,0,1
1.049850667,0,0,0
1.091074500,0,0,1
1.099848583,0,0,0
1.099864917,1,0,0
1.109071833,0,0,0
1.141071083,0,0,1
1.149842583,0,0,0
1.191069917,0,0,1
1.199845250,0,0,0
1.199861667,0,1,0
1.199875250,1,1,0
1.209065667,0,1,0
1.219063750,0,0,0
1.241059917,0,0,1
1.249831500,0,0,0
1.291054917,0,0,1
1.299829583,0,0,0
1.299845917,1,0,0
1.309053917,0,0,0
1.341048333,0,0,1
1.349819083,0,0,0
1.391043250,0,0,1
1.399818583,0,0,0
1.399834917,0,1,0
1.399848583,1,1,0
1.409039750,0,1,0
1.419039583,0,0,0
1.441037083,0,0,1
1.449807250,0,0,0
1.491032500,0,0,1
1.499806917,0,0,0
1.499823167,1,0,0
1.509030500,0,0,0
1.541029083,0,0,1
1.549799750,0,0,0
1.591025750,0,0,1
1.599804167,0,0,0
1.599820500,0,1,0
1.599834167,1,1,0
1.609027833,0,1,0
1.619028833,0,0,0
1.641027750,0,0,1
1.649799083,0,0,0
1.691026417,0,0,1
1.699801083,0,0,0
1.699817417,1,0,0
1.709024583,0,0,0
1.741018083,0,0,1
1.749788667,0,0,0
1.791009333,0,0,1
1.799784083,0,0,0
1.799800417,0,1,0
1.799814083,1,1,0
1.809005750,0,1,0
1.819003417,0,0,0
1.840998750,0,0,1
1.849768917,0,0,0
1.890988833,0,0,1
1.899761583,0,0,0
1.899777917,1,0,0
1.908984167,0,0,0
1.940981000,0,0,1
1.949752417,0,0,0
1.990978833,0,0,1
1.999753417,0,0,0
1.999769833,0,1,0
1.999783417,1,1,0
2.008975417,0,1,0
2.018973417,0,0,0
2.040967667,0,0,1
2.049739250,0,0,0
2.090958583,0,0,1
2.099730833,0,0,0
2.099747167,1,0,0
2.108953500,0,0,0
2.140945500,0,0,1
2.149715167,0,0,0
2.190933917,0,0,1
2.199709000,0,0,0
2.199725333,0,1,0
2.199738917,1,1,0
2.208930000,0,1,0
2.218927833,0,0,0
2.240922000,0,0,1
2.249691500,0,0,0
2.290911750,0,0,1
2.299685833,0,0,0
2.299702167,1,0,0
2.308908417,0,0,0
2.340898333,0,0,1
2.349668917,0,0,0
2.390886750,0,0,1
2.399661583,0,0,0
2.399677917,0,1,0
2.399691583,1,1,0
2.408880917,0,1,0
2.418879583,0,0,0
2.440876583,0,0,1
2.449647667,0,0,0
2.490875083,0,0,1
2.499649500,0,0,0
2.499665833,1,0,0
2.508873250,0,0,0
2.540871333,0,0,1
2.549642583,0,0,0
2.590863167,0,0,1
2.599638417,0,0,0
2.599654750,0,1,0
2.599668417,1,1,0
2.608859833,0,1,0
2.618858500,0,0,0
2.640855083,0,0,1
2.649626000,0,0,0
2.690854083,0,0,1
2.699628417,0,0,0
2.699644667,1,0,0
2.708852250,0,0,0
2.740849667,0,0,1
2.749620417,0,0,0
2.790849500,0,0,1
2.799627083,0,0,0
2.799643500,0,1,0
2.799657083,1,1,0
2.808849000,0,1,0
2.818847583,0,0,0
2.840847417,0,0,1
2.849620000,0,0,0
2.890845083,0,0,1
2.899618500,0,0,0
2.899634750,1,0,0
2.908840833,0,0,0
2.940834917,0,0,1
2.949604583,0,0,0
2.990827750,0,0,1
2.999603083,0,0,0
2.999619417,0,1,0
2.999633000,1,1,0
3.008825167,0,1,0
3.018823167,0,0,0
3.040820167,0,0,1
3.049592250,0,0,0
3.090813500,0,0,1
3.099587333,0,0,0
3.099603583,1,0,0
3.108811833,0,0,0
3.140810000,0,0,1
3.149581667,0,0,0
3.190801333,0,0,1
3.199577250,0,0,0
3.199593583,0,1,0
3.199607250,1,1,0
3.208799833,0,1,0
3.218797917,0,0,0
3.240793417,0,0,1
3.249565417,0,0,0
3.290788417,0,0,1
3.299561833,0,0,0
3.299578167,1,0,0
3.308784167,0,0,0
3.340778000,0,0,1
3.349548417,0,0,0
3.390768917,0,0,1
3.399545083,0,0,0
3.399561417,0,1,0
3.399575083,1,1,0
3.408765000,0,1,0
3.418763250,0,0,0
3.440758917,0,0,1
3.449529167,0,0,0
3.490752250,0,0,1
3.499526833,0,0,0
3.499543083,1,0,0
3.508749167,0,0,0
3.540741500,0,0,1
3.549510750,0,0,0
3.590734583,0,0,1
3.599510833,0,0,0
3.599527167,0,1,0
3.599540833,1,1,0
3.608732333,0,1,0
3.618730250,0,0,0
3.640727500,0,0,1
3.649498417,0,0,0
3.690725583,0,0,1
3.699498583,0,0,0
3.699514917,1,0,0
3.708721667,0,0,0
3.740713583,0,0,1
3.749484500,0,0,0
3.790709417,0,0,1
3.799485750,0,0,0
3.799502083,0,1,0
3.799515750,1,1,0
3.808706250,0,1,0
3.818703083,0,0,0
3.840700083,0,0,1
3.849470583,0,0,0
3.890688917,0,0,1
3.899461917,0,0,0
3.899478250,1,0,0
3.908683250,0,0,0
3.940675750,0,0,1
3.949446000,0,0,0
3.990666583,0,0,1
3.999442250,0,0,0
3.999458583,0,1,0
3.999472250,1,1,0
4.008664333,0,1,0
4.018664583,0,0,0
4.040661500,0,0,1
4.049431917,0,0,0
4.090654917,0,0,1
4.099429167,0,0,0
4.099445500,1,0,0
4.108652500,0,0,0
4.140649750,0,0,1
4.149420667,0,0,0
4.190645500,0,0,1
4.199422000,0,0,0
4.199438417,0,1,0
4.199452000,1,1,0
4.208643417,0,1,0
4.218642167,0,0,0
4.240638000,0,0,1
4.249408750,0,0,0
4.290631333,0,0,1
4.299406083,0,0,0
4.299422333,1,0,0
4.308629083,0,0,0
4.340624667,0,0,1
4.349395333,0,0,0
4.390615417,0,0,1
4.399390333,0,0,0
4.399406667,0,1,0
4.399420250,1,1,0
4.408611833,0,1,0
4.418610500,0,0,0
4.440608000,0,0,1
4.449378667,0,0,0
4.490609333,0,0,1
4.499385667,0,0,0
4.499402000,1,0,0
4.508611000,0,0,0
4.540607333,0,0,1
4.549377083,0,0,0
4.590597417,0,0,1
4.599373167,0,0,0
4.599389500,0,1,0
4.599403083,1,1,0
4.608594750,0,1,0
4.618593583,0,0,0
4.640590833,0,0,1
4.649361417,0,0,0
4.690582333,0,0,1
4.699356083,0,0,0
4.699372333,1,0,0
4.708580000,0,0,0
4.740575750,0,0,1
4.749346917,0,0,0
4.790568250,0,0,1
4.799343250,0,0,0
4.799359667,0,1,0
4.799373250,1,1,0
4.808563833,0,1,0
4.818560833,0,0,0
4.840555917,0,0,1
4.849326500,0,0,0
4.890548000,0,0,1
4.899321000,0,0,0
4.899337333,1,0,0
4.908543583,0,0,0
4.940539833,0,0,1
4.949311083,0,0,0
4.990534667,0,0,1
4.999311083,0,0,0
4.999327417,0,1,0
4.999341083,1,1,0
5.008533917,0,1,0
5.018532250,0,0,0
5.040528583,0,0,1
5.049299167,0,0,0
5.090527417,0,0,1
5.099302083,0,0,0
5.099318417,1,0,0
5.108525750,0,0,0
5.140525250,0,0,1
5.149296917,0,0,0
5.190519667,0,0,1
5.199295000,0,0,0
5.199311333,0,1,0
5.199324917,1,1,0
5.208516667,0,1,0
5.218514667,0,0,0
5.240510833,0,0,1
5.249282083,0,0,0
5.290504667,0,0,1
5.299279500,0,0,0
5.299295750,1,0,0
5.308503500,0,0,0
5.340501917,0,0,1
5.349272167,0,0,0
5.390491833,0,0,1
5.399267417,0,0,0
5.399283750,0,1,0
5.399297417,1,1,0
5.408489167,0,1,0
5.418486083,0,0,0
5.440478167,0,0,1
5.449247500,0,0,0
5.490466167,0,0,1
5.499240083,0,0,0
5.499256333,1,0,0
5.508462417,0,0,0
5.540455917,0,0,1
5.549226250,0,0,0
5.590443917,0,0,1
5.599218167,0,0,0
5.599234500,0,1,0
5.599248167,1,1,0
5.608438250,0,1,0
5.618435417,0,0,0
5.640430250,0,0,1
5.649201167,0,0,0
5.690418500,0,0,1
5.699192500,0,0,0
5.699208833,1,0,0
5.708414333,0,0,0
5.740402833,0,0,1
5.749171667,0,0,0
5.790386750,0,0,1
5.799162250,0,0,0
5.799178667,0,1,0
5.799192250,1,1,0
5.808382333,0,1,0
5.818378583,0,0,0
5.840371000,0,0,1
5.849140750,0,0,0
5.890356333,0,0,1
5.899129250,0,0,0
5.899145500,1,0,0
5.908352917,0,0,0
5.940349167,0,0,1
5.949118333,0,0,0
5.990339833,0,0,1
5.999114917,0,0,0
5.999131250,0,1,0
5.999144917,1,1,0
6.008334750,0,1,0
6.018333417,0,0,0
6.040329167,0,0,1
6.049099667,0,0,0
6.090322500,0,0,1
6.099096333,0,0,0
6.099112583,1,0,0
6.108319500,0,0,0
6.140312833,0,0,1
6.149083167,0,0,0
6.190298667,0,0,1
6.199075000,0,0,0
6.199091333,0,1,0
6.199105000,1,1,0
6.208295833,0,1,0
6.218294917,0,0,0
6.240289083,0,0,1
6.249059583,0,0,0
6.290277583,0,0,1
6.299050833,0,0,0
6.299067083,1,0,0
6.308273500,0,0,0
6.340268500,0,0,1
6.349039250,0,0,0
6.390259500,0,0,1
6.399034583,0,0,0
